date,title,detail_url,pdf_url,page_no,scraped_at
"Apr 16, 2026",Adjudication order in the matter of Lypsa Gems and Jewellery Limited,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-the-matter-of-lypsa-gems-and-jewellery-limited_100939.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776328431.pdf,1,2026-04-18T22:48:03.486697
"Apr 16, 2026",Adjudication Order in the matter of Growthlift Investment Advisories Private Limited,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-the-matter-of-growthlift-investment-advisories-private-limited_100941.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776331393.pdf,1,2026-04-18T22:48:12.112021
"Apr 13, 2026",Adjudication Order in respect of Asan Steels Private Limited in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-asan-steels-private-limited-in-the-matter-of-illiquid-stock-options-on-bse_100922.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776085224.pdf,1,2026-04-18T22:48:20.653072
"Apr 13, 2026",Adjudication Order in respect of Ashwin Chunibhai Shah in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-ashwin-chunibhai-shah-in-the-matter-of-illiquid-stock-options-on-bse_100918.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776078392.pdf,1,2026-04-18T22:48:28.920163
"Apr 13, 2026",Adjudication Order in respect of Bimla Devi Killa in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-bimla-devi-killa-in-the-matter-of-illiquid-stock-options-on-bse_100920.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776082630.pdf,1,2026-04-18T22:48:35.992231
"Apr 13, 2026",Adjudication Order in respect of Nitin Jain in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-nitin-jain-in-the-matter-of-illiquid-stock-options-on-bse_100916.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776078982.pdf,1,2026-04-18T22:48:42.885102
"Apr 13, 2026",Adjudication Order in respect of S K Garments Private Limited in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-s-k-garments-private-limited-in-the-matter-of-illiquid-stock-options-on-bse_100914.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776077623.pdf,1,2026-04-18T22:48:50.003863
"Apr 13, 2026",Adjudication Order in respect of Sagarotharaka Vanijya Private Limited in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-sagarotharaka-vanijya-private-limited-in-the-matter-of-illiquid-stock-options-on-bse_100912.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1776076888.pdf,1,2026-04-18T22:48:57.613026
"Apr 09, 2026",Adjudication Order in the matter of Trdez Investment Private Limited,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-the-matter-of-trdez-investment-private-limited_100846.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/1775737724166.pdf,1,2026-04-18T22:49:04.985343
"Apr 08, 2026",Adjudication Order in respect of Diganta Agencies Pvt Ltd in the matter of Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/apr-2026/adjudication-order-in-respect-of-diganta-agencies-pvt-ltd-in-the-matter-of-illiquid-stock-options-on-bse_100822.html,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2026/ORDER_1775624522.pdf,1,2026-04-18T22:49:12.787047
